tokens,ner_tags
['Không_khí' 'thật' 'náo_nhiệt' '.'],[0 0 0 0]
"['Chị' 'Lãnh' 'và' 'Xăng' 'ra' 'đi' ',' 'mình' 'đứng' 'nhìn' 'hai' 'chị'
 'quần' 'xắn' 'tròn' 'trên' 'vế' ',' 'lặn_lội' 'qua' 'dòng' 'suối' 'nước'
 'chảy' 'rần_rần' ',' 'tự_nhiên' 'nước_mắt' 'mình' 'rưng_rưng' '...']",[0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Suy_tính' 'mãi' ',' 'khóc' 'mãi' 'rồi' 'Phúc' 'lấy' 'ra' 'tờ' 'giấy' ','
 'cây' 'bút' ',' 'vẽ' 'vòng_tròn' 'hình' 'chiếc' 'nhẫn' 'vào' 'giấy' 'rồi'
 '...' 'cất' 'đi' ',' 'còn' 'nhẫn' 'thì' 'đem' 'bán' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Hoà' 'bảo' 'hồi' 'mới' 'qua' 'đâu' 'có' 'biết' 'nấu_nướng' 'gì' ','
 'các' 'món' 'Hoa' 'chị' 'nấu' 'trong' 'cuộc' 'thi' 'đều' 'do' 'bà' 'chủ'
 'nhà' 'chỉ' 'dạy' ',' 'Hoà' 'chỉ' 'chịu_khó' 'ghi' 'lại' 'trong' 'một'
 'cuốn' 'sổ' 'và' 'thường_xuyên' 'xem' 'nó' 'mà' 'thôi' '.']","[1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
['Nhật_ký' 'của' 'thuyền_viên' '.'],[0 0 0 0]
"['Cách' 'đây' 'hai' 'tháng' 'những' 'người' 'thợ' 'phía' 'nam' 'Hải_Vân'
 'đã' 'về' '""' 'đích' '""' 'với' 'chiều' 'dài' 'hầm' 'hơn' '4.800' 'm' '('
 'chính' 'và' 'phụ' ')' '.']",[0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Tôi' 'làm' 'nghề' 'xây_dựng' ',' 'hay' 'đi' 'các' 'công_trình' 'xa'
 'nhà' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"['Theo' 'ước_tính' 'của' 'Chính_phủ' 'Trung_Quốc' ',' 'những' 'giao_dịch'
 'về' 'hàng' 'giả' 'trong' 'thị_trường' 'quốc_nội' 'có' 'giá_trị' '19' '-'
 '24' 'tỉ' 'USD' 'mỗi' 'năm' '.']",[0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Hầu_hết' 'chúng_ta' 'chưa' 'quen' ',' 'chính_xác' 'là' 'không' 'dám'
 'khám_phá' 'những' 'cái' 'mới' ',' 'cái' 'khác_lạ' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Tuy_nhiên' ',' 'ông' 'Trúc' 'cho' 'rằng' 'ngăn_chặn' 'các' 'đầu_nậu'
 'chuyên' 'cung_cấp' 'thú' 'rừng' 'còn' 'phải' 'có' 'sự' 'phối_hợp'
 'chặt_chẽ' 'của' 'chính_quyền' 'địa_phương' 'và' 'công_an' '.']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
